stock_name,group,trading_symbol,instrument_key,ath,cp,prev_change_pct,today_change_pct,ema5,ema10,ema20,last_updated
Gravita India Ltd.,Metals & Mining,GRAVITA,NSE_EQ|INE024L01027,0.0,0,0,0,0,0,0,0
Great Eastern Shipping Co. Ltd.,Services,GESHIP,NSE_EQ|INE017A01032,0.0,0,0,0,0,0,0,0
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,NSE_EQ|INE09N301011,0.0,0,0,0,0,0,0,0
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,NSE_EQ|INE844O01030,0.0,0,0,0,0,0,0,0
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,NSE_EQ|INE131A01031,0.0,0,0,0,0,0,0,0
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,NSE_EQ|INE246F01010,0.0,0,0,0,0,0,0,0
H.E.G. Ltd.,Capital Goods,HEG,NSE_EQ|INE545A01024,0.0,0,0,0,0,0,0,0
HBL Engineering Ltd.,Capital Goods,HBLENGINE,NSE_EQ|INE292B01021,0.0,0,0,0,0,0,0,0
HCL Technologies Ltd.,Information Technology,HCLTECH,NSE_EQ|INE860A01027,0.0,0,0,0,0,0,0,0
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,NSE_EQ|INE127D01025,0.0,0,0,0,0,0,0,0
HDFC Bank Ltd.,Financial Services,HDFCBANK,NSE_EQ|INE040A01034,0.0,0,0,0,0,0,0,0
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,NSE_EQ|INE795G01014,0.0,0,0,0,0,0,0,0
HFCL Ltd.,Telecommunication,HFCL,NSE_EQ|INE548A01028,0.0,0,0,0,0,0,0,0
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,NSE_EQ|INE419U01012,0.0,0,0,0,0,0,0,0
Havells India Ltd.,Consumer Durables,HAVELLS,NSE_EQ|INE176B01034,0.0,0,0,0,0,0,0,0
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,NSE_EQ|INE158A01026,0.0,0,0,0,0,0,0,0
Hexaware Technologies Ltd.,Information Technology,HEXT,NSE_EQ|INE093A01041,0.0,0,0,0,0,0,0,0
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,NSE_EQ|INE019C01026,0.0,0,0,0,0,0,0,0
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,NSE_EQ|INE038A01020,0.0,0,0,0,0,0,0,0
Hindustan Aeronautics Ltd.,Capital Goods,HAL,NSE_EQ|INE066F01020,0.0,0,0,0,0,0,0,0
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,NSE_EQ|INE531E01026,0.0,0,0,0,0,0,0,0
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,NSE_EQ|INE094A01015,0.0,0,0,0,0,0,0,0
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,NSE_EQ|INE030A01027,0.0,0,0,0,0,0,0,0
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,NSE_EQ|INE267A01025,0.0,0,0,0,0,0,0,0
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,NSE_EQ|INE07Y701011,0.0,0,0,0,0,0,0,0
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,NSE_EQ|INE481N01025,0.0,0,0,0,0,0,0,0
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,NSE_EQ|INE0J5401028,0.0,0,0,0,0,0,0,0
